make,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,price,city-L/100km,highway-L/100km,fuel,country,continent
Alfa Romeo,std,two,convertible,rwd,front,225,428.8,162.8,124,1156,dohc,four,2130,mpfi,8.81,6.81,9,111,5000,13495,11.19,8.7,petrol,Italy,Europe
Alfa Romeo,std,two,convertible,rwd,front,225,428.8,162.8,124,1156,dohc,four,2130,mpfi,8.81,6.81,9,111,5000,16500,11.19,8.7,petrol,Italy,Europe
Alfa Romeo,std,two,hatchback,rwd,front,240,434.8,166.4,133.1,1280,ohcv,six,2491,mpfi,6.81,8.81,9,154,5000,16500,12.37,9.04,petrol,Italy,Europe
Audi,std,four,sedan,fwd,front,253.5,448.6,168.1,137.9,1060,ohc,four,1786,mpfi,8.1,8.64,10,102,5500,13950,9.79,7.83,petrol,Germany,Europe
Audi,std,four,sedan,4wd,front,252.5,448.6,168.7,137.9,1281,ohc,five,2229,mpfi,8.1,8.64,8,115,5500,17450,13.06,10.68,petrol,Germany,Europe
Audi,std,two,sedan,fwd,front,253.5,450.3,168.4,134.9,1137,ohc,five,2229,mpfi,8.1,8.64,8.5,110,5500,15250,12.37,9.4,petrol,Germany,Europe
Audi,std,four,sedan,fwd,front,268.7,489.5,181.4,141.5,1290,ohc,five,2229,mpfi,8.1,8.64,8.5,110,5500,17710,12.37,9.4,petrol,Germany,Europe
Audi,std,four,wagon,fwd,front,268.7,489.5,181.4,141.5,1340,ohc,five,2229,mpfi,8.1,8.64,8.5,110,5500,18920,12.37,9.4,petrol,Germany,Europe
Audi,turbo,four,sedan,fwd,front,268.7,489.5,181.4,142,1400,ohc,five,2147,mpfi,7.95,8.64,8.3,140,5500,23875,13.82,11.75,petrol,Germany,Europe
BMW,std,two,sedan,rwd,front,257,449.1,164.6,137.9,1086,ohc,four,1770,mpfi,8.89,7.11,8.8,101,5800,16430,10.22,8.1,petrol,Germany,Europe
BMW,std,four,sedan,rwd,front,257,449.1,164.6,137.9,1086,ohc,four,1770,mpfi,8.89,7.11,8.8,101,5800,16925,10.22,8.1,petrol,Germany,Europe
BMW,std,two,sedan,rwd,front,257,449.1,164.6,137.9,1229,ohc,six,2687,mpfi,8.41,8.1,9,121,4250,20970,11.19,8.39,petrol,Germany,Europe
BMW,std,four,sedan,rwd,front,257,449.1,164.6,137.9,1254,ohc,six,2687,mpfi,8.41,8.1,9,121,4250,21105,11.19,8.39,petrol,Germany,Europe
BMW,std,four,sedan,rwd,front,262.9,480.1,169.9,141.5,1386,ohc,six,2687,mpfi,8.41,8.1,9,121,4250,24565,11.75,9.4,petrol,Germany,Europe
BMW,std,four,sedan,rwd,front,262.9,480.1,169.9,141.5,1465,ohc,six,3425,mpfi,9.19,8.61,8,182,5400,30760,14.69,10.68,petrol,Germany,Europe
BMW,std,two,sedan,rwd,front,262.9,492.3,172.5,136.4,1533,ohc,six,3425,mpfi,9.19,8.61,8,182,5400,41315,14.69,10.68,petrol,Germany,Europe
BMW,std,four,sedan,rwd,front,279.4,500.4,180.1,143,1590,ohc,six,3425,mpfi,9.19,8.61,8,182,5400,36880,15.67,11.75,petrol,Germany,Europe
Chevrolet,std,two,hatchback,fwd,front,224.5,358.4,153.2,135.1,675,l,three,1000,2bbl,7.39,7.7,9.5,48,5100,5151,5,4.43,petrol,United States of America,North America
Chevrolet,std,two,hatchback,fwd,front,240,396,161.5,132.1,850,ohc,four,1475,2bbl,7.7,7.9,9.6,70,5400,6295,6.18,5.47,petrol,United States of America,North America
Chevrolet,std,four,sedan,fwd,front,240,403.4,161.5,132.1,866,ohc,four,1475,2bbl,7.7,7.9,9.6,70,5400,6575,6.18,5.47,petrol,United States of America,North America
Dodge,std,two,hatchback,fwd,front,238,399.5,162.1,129,851,ohc,four,1475,2bbl,7.54,8.2,9.41,68,5500,5572,6.35,5.73,petrol,United States of America,North America
Dodge,std,two,hatchback,fwd,front,238,399.5,162.1,129,851,ohc,four,1475,2bbl,7.54,8.2,9.4,68,5500,6377,7.58,6.18,petrol,United States of America,North America
Dodge,turbo,two,hatchback,fwd,front,238,399.5,162.1,129,965,ohc,four,1606,mpfi,7.7,8.61,7.6,102,5500,7957,9.79,7.83,petrol,United States of America,North America
Dodge,std,four,hatchback,fwd,front,238,399.5,162.1,128.5,892,ohc,four,1475,2bbl,7.54,8.2,9.4,68,5500,6229,7.58,6.18,petrol,United States of America,North America
Dodge,std,four,sedan,fwd,front,238,399.5,162.1,128.5,902,ohc,four,1475,2bbl,7.54,8.2,9.4,68,5500,6692,7.58,6.18,petrol,United States of America,North America
Dodge,std,four,sedan,fwd,front,238,399.5,162.1,128.5,902,ohc,four,1475,2bbl,7.54,8.2,9.4,68,5500,7609,7.58,6.18,petrol,United States of America,North America
Dodge,turbo,,sedan,fwd,front,238,399.5,162.1,128.5,994,ohc,four,1606,mpfi,7.7,8.61,7.6,102,5500,8558,9.79,7.83,petrol,United States of America,North America
Dodge,std,four,wagon,fwd,front,262.4,443.5,164.1,151.9,1150,ohc,four,1999,2bbl,8.48,8.79,8.5,88,5000,8921,9.79,7.83,petrol,United States of America,North America
Dodge,turbo,two,hatchback,fwd,front,243.6,439.9,168.4,127.5,1275,ohc,four,2556,mfi,9.14,9.91,7,145,5000,12964,12.37,9.79,petrol,United States of America,North America
Honda,std,two,hatchback,fwd,front,220,367.3,162.3,129,777,ohc,four,1508,1bbl,7.39,8.66,9.6,58,4800,6479,4.8,4.35,petrol,Japan,Asia
Honda,std,two,hatchback,fwd,front,220,367.3,162.3,129,825,ohc,four,1508,1bbl,7.39,8.66,9.2,76,6000,6855,7.58,6.18,petrol,Japan,Asia
Honda,std,two,hatchback,fwd,front,238,381,162.6,133.6,833,ohc,four,1295,1bbl,7.39,7.8,10.1,60,5500,5399,6.18,5.6,petrol,Japan,Asia
Honda,std,two,hatchback,fwd,front,238,381,162.6,133.6,880,ohc,four,1508,1bbl,7.39,8.66,9.2,76,6000,6529,7.83,6.91,petrol,Japan,Asia
Honda,std,two,hatchback,fwd,front,238,381,162.6,133.6,887,ohc,four,1508,1bbl,7.39,8.66,9.2,76,6000,7129,7.83,6.91,petrol,Japan,Asia
Honda,std,four,sedan,fwd,front,245.1,415,162.6,138.4,912,ohc,four,1508,1bbl,7.39,8.66,9.2,76,6000,7295,7.83,6.91,petrol,Japan,Asia
Honda,std,four,wagon,fwd,front,245.1,399,162.3,148.1,918,ohc,four,1508,1bbl,7.42,8.66,9.2,76,6000,7295,7.83,6.91,petrol,Japan,Asia
Honda,std,two,hatchback,fwd,front,245.1,425.4,165.6,135.4,1014,ohc,four,1803,1bbl,8,9.09,9,86,5800,7895,8.7,7.12,petrol,Japan,Asia
Honda,std,two,hatchback,fwd,front,245.1,425.4,165.6,135.4,1038,ohc,four,1803,1bbl,8,9.09,9,86,5800,9095,8.7,7.12,petrol,Japan,Asia
Honda,std,four,sedan,fwd,front,245.1,445.5,165.6,137.4,1045,ohc,four,1803,1bbl,8,9.09,9,86,5800,8845,8.7,7.12,petrol,Japan,Asia
Honda,std,four,sedan,fwd,front,245.1,445.5,158.8,137.4,1076,ohc,four,1803,1bbl,8,9.09,9,86,5800,10295,8.7,7.12,petrol,Japan,Asia
Honda,std,four,sedan,fwd,front,245.1,445.5,165.6,137.4,1118,ohc,four,1803,mpfi,8,9.09,9,101,5800,12945,9.79,8.39,petrol,Japan,Asia
